route_id,service_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
8565,88,MMT,27,,U CAMPUS:NORTH TP,Weekday schedule trips operate regularly westbound every 30 minutes from approximately 6 AM until 8 AM and eastbound every 30 minutes from approximately 4 PM until 6 PM. Limited trips operate eastbound in the AM and westbound in the PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-27,7DC0D0,000000,1
8566,88,MMT,28,,NORTH TP:WEST TP,Weekday schedule trips operate regularly westbound every 15 minutes from approximately 6 AM until 9 AM and eastbound every 15 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-28,6AB6D1,000000,1
8567,88,MMT,29,,SCHOOL:BREESE,Weekday schedule trips operate twice westbound at approximately 7 AM and twice eastbound at approximately 4 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-29,5C99A5,000000,1
8568,88,MMT,30,,E TOWNE:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-30,DA8A39,000000,1
8569,88,MMT,31,,MARSH RD:EAST TP,Weekday schedule trips operate regularly every 60 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM. Weeknight and weekend/holiday trips operate regularly every 60 minutes. Limited weekday trips operate via Dutch Mill.,3,http://www.cityofmadison.com/metro/routes-schedules/route-31,841D1D,FFFFFF,1
8570,88,MMT,32,,ACEWOOD-THOMPSON:ETP,Weekday schedule trips operate regularly every 60 minutes from approximately 9 AM until 2 PM. Weeknight and weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-32,5580A9,000000,1
8571,88,MMT,33,,SPRECHER-THOMPSON:ETP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-33,5FA79D,000000,1
8572,88,MMT,34,,MATC:EAST TP,Weekday schedule trips operate regularly every 60 minutes from approximately 7 AM until 5 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-34,976C25,000000,1
8573,88,MMT,35,,ATLAS-ACEWOOD:ETP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-35,C8537D,000000,1
8574,88,MMT,36,,E SPRINGS:E TOWNE,Weekday schedule trips operate regularly every 30 minutes. Weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-36,4D5613,000000,1
8575,88,MMT,37,,SHEBOYGN:PFLAUM,Weekday schedule trips operate at least every 30 minutes eastbound from approximately 7 AM until 8 AM and westbound every 15 minutes from approximately 4 PM until 6 PM. Additional schedule trips operate eastbound west of the Capitol Square until 10 AM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-37,CB6B77,000000,1
8576,88,MMT,38,,SHEBOYGN:PFLAUM,Weekday schedule trips operate at least every 15 minutes westbound from approximately 6 AM until 9 AM and regularly eastbound every 15 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,8D89B3,000000,1
8577,88,MMT,39,,WORLD DY:EAST TP,Weekday schedule trips operate regularly every 60 minutes from approximately 7 AM until 8 AM. Limited trips operate via Dempsey.,3,http://www.cityofmadison.com/metro/routes-schedules/route-39,7493A8,000000,1
8578,88,MMT,40,,GRNDVIEW/TODD:STP,Weekday schedule trips operate regularly every 30 minutes. Weeknight and weekend/holiday trips operate regularly every 60 minutes. Limited weekday trips operate via Todd.,3,http://www.cityofmadison.com/metro/routes-schedules/route-40,64ACCD,000000,1
8579,88,MMT,44,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly northbound every 30 minutes from approximately 6 AM until 9 AM and southbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-44,8F8A64,000000,1
8580,88,MMT,47,,ARBOR HL:CAP SQR,Weekday schedule trips operate regularly every 30 minutes northbound from approximately 6 AM until 9 AM and southbound every 30 minutes from approximately 3 PM until 6 PM. Limited trips operate southbound in the AM and northbound in the PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-47,885CA0,000000,1
8581,88,MMT,48,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes southbound from approximately 7 AM until 8 AM and northbound every 30 minutes from approximately 4 PM until 5 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-48,D77AA9,000000,1
8582,88,MMT,49,,LACY-HATCHERY:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-49,7FC241,000000,1
